Pedro;515
Rabea;514
Hildegart;513
Jasmina;512
Hans-Uwe;512
Gaetano;512
Alicja;511
Hans-Ludwig;509
Burkard;509
Deborah;508
Hans-Dietrich;508
Nadin;507
Hans-Friedrich;507
Alwina;506
Chantal;505
Jaroslaw;504
Hans-Karl;504
Mariele;503
Hildburg;503
Wolf-Dietrich;503
Heinz-Günther;503
Mareen;501
Henner;501
Stefani;500
Reingard;500
Amelie;499
Maria-Theresia;498
Gertraut;497
Caren;497
Tomislav;497
Vitus;496
Sylvie;495
Toralf;493
Veronica;492
Maya;492
Harriet;492
Dajana;492
Francesca;491
Jo;490
Sergei;490
Eva-Marie;489
Freddy;489
Ingmar;488
Salih;487
Lidwina;485
Walfried;485
Kira;484
Marisa;483
Hulda;483
Erdmute;483
José;483
Dittmar;483
Recep;481
Cecilia;480
Anica;480
Erhardt;480
Gusti;478
Gundel;478
Lia;477
Leopoldine;477
Rosl;476
Istvan;476
Birger;475
Giovanna;474
Ljiljana;472
Ivanka;472
Ottomar;472
Heinz-Gerd;471
Raissa;470
Birgid;469
Melita;468
Friedhilde;468
Tomas;468
Kriemhild;467
Justus;466
Ellinor;464
Vito;464
Ryszard;464
Evangelos;464
Dusan;464
Anatolij;464
Marzena;463
Lisette;463
Friedlinde;463
Aleksander;463
Suzanne;460
Leokadia;460
Sami;460
Zoltan;458
Cengiz;457
Tania;456
Raik;456
Theda;455
Genoveva;455
Ayten;455
Annie;455
Sinaida;453
Hartmuth;452
Marica;451
Sigmar;451
Leszek;451
Leon;451
Cemal;451
Stefania;450
Agatha;450
Sylvio;450
Hans-Albert;450
Eckhart;450
Rosa-Maria;449
Wieslaw;449
Frank-Michael;449
Francoise;447
Willfried;447
Hanne-Lore;446
Leonard;446
Frederike;445
Adelinde;445
Rolf-Peter;445
Ralf-Peter;444
Franjo;444
Othmar;443
Karl-Dieter;443
Brian;443
Anselm;443
Valeska;442
Babett;442
Marie-Louise;440
Fedor;440
Slavko;439
Calogero;439
Alban;439
Zdenka;438
Justina;438
Kasimir;438
Vassilios;436
Emmerich;436
Katalin;434
Marcella;433
Dorina;433
Caterina;433
Niklas;433
Danilo;433
Katharine;432
Heide-Marie;432
Angelique;432
Pawel;432
Waltrud;431
Milka;431
Cosima;431
Ljudmila;430
Ann;430
Liliana;429
Constance;429
Danielle;428
Harold;428
Hans-Rudolf;428
Paola;427
Ortrun;426
Nermin;426
Gesche;426
Tilmann;426
Hermann-Josef;426
Sibylla;424
Ivana;424
Hannchen;424
Wenke;423
Tilly;423
Vadim;423
Theodoros;423
Tony;422
Miguel;422
Jolanthe;421
Annaliese;421
Meral;420
Michail;420
Theres;419
Donald;419
Cosimo;418
Erica;417
Cläre;417
Guenther;417
Frithjof;417
Silja;415
